english,english_normalized,domain,primary_tamil,all_alternatives,sources
master,master,general,முதன்மையாளர்,முதன்மையாளர்,மணவை முஸ்தபா
master boot record,master boot record,database,முதன்மை ஏற்றும் பதிவேடு,முதன்மை ஏற்றும் பதிவேடு,மணவை முஸ்தபா
master card,master card,general,முதன்மை அட்டை,முதன்மை அட்டை,மணவை முஸ்தபா
master clear,master clear,general,முற்றும் அழித்தல்,"முற்றும் அழித்தல்,முழுமையும் அழித்தல்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
master clock,master clock,general,முதன்மை கடிகை,"முதன்மை கடிகை,முதன்மை  கடிகாரம்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
master console,master console,general,முதன்மை முகப்பு,முதன்மை முகப்பு,மணவை முஸ்தபா
master copy,master copy,general,மூலப்படி,மூலப்படி,மணவை முஸ்தபா
master data,master data,general,முதன்மைத் தரவு,முதன்மைத் தரவு,அண்ணா பல்கலைக்கழகம்
master file,master file,general,முதன்மைக் கோப்பு,"முதன்மைக் கோப்பு,முதன்மைக் கோப்பு ; தலைமைக் கோப்பு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
master file maintenance,master file maintenance,general,முதன்மைக் கோப்பு பராமரிப்பு,முதன்மைக் கோப்பு பராமரிப்பு,மணவை முஸ்தபா
master key,master key,general,முதன்மை விசை ; முதன்மைத் திறவி,முதன்மை விசை ; முதன்மைத் திறவி,மணவை முஸ்தபா
master link,master link,general,முதன்மை இணைப்பு,முதன்மை இணைப்பு,மணவை முஸ்தபா
master menu,master menu,general,முதன்மைப் பட்டியல்,முதன்மைப் பட்டியல்,மணவை முஸ்தபா
master record,master record,database,முதன்மைப் பதிவேடு,முதன்மைப் பதிவேடு,மணவை முஸ்தபா
master volume,master volume,general,முதன்மைத் தொகுதி,முதன்மைத் தொகுதி,மணவை முஸ்தபா
master/slave arrangement,master/slave arrangement,general,தலைமை/அடிமை அமைப்பு முறை; தலைவன்/பணியாள் அமைப்பு முறை,தலைமை/அடிமை அமைப்பு முறை; தலைவன்/பணியாள் அமைப்பு முறை,மணவை முஸ்தபா
master/slave computer system,master/slave computer system,general,தலைமை/அடிமை கணினி முறைமை,தலைமை/அடிமை கணினி முறைமை,மணவை முஸ்தபா
master/slave system,master/slave system,general,தலைமை/அடிமை முறைமை,தலைமை/அடிமை முறைமை,மணவை முஸ்தபா
match,match,general,பொருத்து,"பொருத்து,இணை; பொருத்தம்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
match case,match case,general,வடிவப் பொருத்தம் பார்,வடிவப் பொருத்தம் பார்,மணவை முஸ்தபா
matching,matching,general,பொருத்துதல்,"பொருத்துதல்,இணைவு பார்த்தல் ; பொருத்தம் பார்த்தல்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
material requirements planning,material requirements planning,networking,பொருள் தேவையைத் திட்டமிடல்,பொருள் தேவையைத் திட்டமிடல்,மணவை முஸ்தபா
Math coprocessor,math coprocessor,hardware,கணித இணைச் செயலகம்,கணித இணைச் செயலகம்,மணவை முஸ்தபா
mathematical expression,mathematical expression,programming,"கணிதத் தொடர், கணிதக் கோவை","கணிதத் தொடர், கணிதக் கோவை",மணவை முஸ்தபா
mathematical functions,mathematical functions,programming,கணிதச் சார்பலன்கள்,"கணிதச் சார்பலன்கள்,கணிதச் செயற்கூறு ; கணிதவியல் பணிகள்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
mathematical logic,mathematical logic,general,கணித ஏரணம்,கணித ஏரணம்,அண்ணா பல்கலைக்கழகம்
mathematical model,mathematical model,ai,கணிதப் படிமம்,"கணிதப் படிமம்,கணிதவியல் மாதிரி ; கணிதவியல் படிமம்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
mathematical symbols,mathematical symbols,general,கணிதக் குறியீடுகள்,கணிதக் குறியீடுகள்,"அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
mathematics,mathematics,general,கணிதம்,கணிதம்,மணவை முஸ்தபா
matrix,matrix,general,அணி,"அணி,அணிக்கோவை,அணி; அடித்தளப் பரப்பு","அண்ணா பல்கலைக்கழகம்,மு.சிவலிங்கம்,மணவை முஸ்தபா"
matrix data,matrix data,general,அணித் தரவு,அணித் தரவு,மணவை முஸ்தபா
matrix notation,matrix notation,general,அணிக் குறிமானம்,அணிக் குறிமானம்,அண்ணா பல்கலைக்கழகம்
matrix printer,matrix printer,hardware,புள்ளியணி அச்சுப்பொறி,"புள்ளியணி அச்சுப்பொறி,புள்ளியணி அச்சுப்பொறி","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
mature system,mature system,general,முதிர்ந்த முறைமை,முதிர்ந்த முறைமை,மணவை முஸ்தபா
MAU,mau,general,மாவ்,மாவ்,மணவை முஸ்தபா
"Mauchly, John 1907-1980","mauchly, john 1907-1980",general,"மக்லி, ஜான்","மக்லி, ஜான்",மணவை முஸ்தபா
maximinicomputer,maximinicomputer,general,பெரிய குறுங்கணினி,பெரிய குறுங்கணினி,மணவை முஸ்தபா
maximize,maximize,general,பெரிதாக்கு,பெரிதாக்கு,மணவை முஸ்தபா
maximize and minimize buttons,maximize and minimize buttons,general,பெரிது. சிறிதாக்கும் பொத்தான்கள்,பெரிது. சிறிதாக்கும் பொத்தான்கள்,மணவை முஸ்தபா
maximize button,maximize button,general,பெரிதாக்கு பொத்தான்,பெரிதாக்கு பொத்தான்,மணவை முஸ்தபா
maximum value,maximum value,general,அதிக பட்ச மதிப்பு,அதிக பட்ச மதிப்பு,மணவை முஸ்தபா
mb,mb,general,எம்பி,எம்பி,மணவை முஸ்தபா
MBONE or Mbone,mbone or mbone,general,எம்போன்,எம்போன்,மணவை முஸ்தபா
Mbps,mbps,general,எம்பிபீஎஸ்,எம்பிபீஎஸ்,மணவை முஸ்தபா
MCC,mcc,general,எம்சிசி,எம்சிசி,மணவை முஸ்தபா
"McCarthy, John","mccarthy, john",general,"மெக்கார்த்தி, ஜான்","மெக்கார்த்தி, ஜான்",மணவை முஸ்தபா
MCGA,mcga,general,எம்சிஜிஏ,எம்சிஜிஏ,மணவை முஸ்தபா
MCI,mci,general,எம்சிஐ,எம்சிஐ,மணவை முஸ்தபா
MCP (Model Context Protocol),mcp (model context protocol),ai,மாதிரிச் சூழல் நெறிமுறை,"மாதிரிச் சூழல் நெறிமுறை,மாதிரிப் பின்புல நெறிமுறை",காங்கேயன் பசுபதி
md,md,general,எம்டி,எம்டி,மணவை முஸ்தபா
MDA,mda,general,எம்டிஏ,எம்டிஏ,மணவை முஸ்தபா
MDI,mdi,general,எம்டிஐ,எம்டிஐ,மணவை முஸ்தபா
mean time between failure,mean time between failure,general,கோளாறுகளுக்கு இடைப்பட்ட நேரம்,கோளாறுகளுக்கு இடைப்பட்ட நேரம்,மணவை முஸ்தபா
means/ends analysis,means/ends analysis,general,வழி-விளைவு பகுப்பாய்வு,வழி-விளைவு பகுப்பாய்வு,அண்ணா பல்கலைக்கழகம்
meanssends analysis,meanssends analysis,general,வழி/விளைவு-பகுப்பாய்வு,வழி/விளைவு-பகுப்பாய்வு,மணவை முஸ்தபா
measuring divices,measuring divices,general,அளவீட்டுச் சாதனங்கள்,அளவீட்டுச் சாதனங்கள்,மணவை முஸ்தபா
Mechanical calculator,mechanical calculator,general,எந்திர கணிப்பான்,எந்திர கணிப்பான்,aangilam.org
mechanical data processing,mechanical data processing,general,எந்திரவியல் தரவு வகைப் படுத்துதல்,எந்திரவியல் தரவு வகைப் படுத்துதல்,மணவை முஸ்தபா
mechanical mouse,mechanical mouse,hardware,எந்திர முறை (எலி வடிவ) சுட்டுக் கருவி,எந்திர முறை (எலி வடிவ) சுட்டுக் கருவி,மணவை முஸ்தபா
mechanical translation,mechanical translation,general,பொறிவழி மொழிபெயர்ப்பு,"பொறிவழி மொழிபெயர்ப்பு,எந்திரவியல் மொழி பெயர்ப்பு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
mechanics,mechanics,general,விசையியல்,விசையியல்,அண்ணா பல்கலைக்கழகம்
Mechanistic Interpretability,mechanistic interpretability,general,இயக்கமுறை விளக்கத்திறன்,இயக்கமுறை விளக்கத்திறன்,காங்கேயன் பசுபதி
mechanization,mechanization,general,எந்திரமயமாக்கல்,"எந்திரமயமாக்கல்,எந்திரமய மாக்கல்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
media,media,general,ஊடகங்கள்,"ஊடகங்கள்,ஊடகம்","அண்ணா பல்கலைக்கழகம்,மு.சிவலிங்கம்,aangilam.org"
media access control,media access control,general,ஊடக அணுகு கட்டுப்பாடு,ஊடக அணுகு கட்டுப்பாடு,மணவை முஸ்தபா
media compatibility,media compatibility,general,ஊடக ஏற்புத் திறன்,ஊடக ஏற்புத் திறன்,மணவை முஸ்தபா
media conversion,media conversion,general,ஊடக மாற்றல்,ஊடக மாற்றல்,மணவை முஸ்தபா
media eraser,media eraser,general,ஊடகம் அழிப்பான்,"ஊடகம் அழிப்பான்,சாதனங்கள் அழிப்பி","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
media failure,media failure,general,ஊடகப் பழுது,ஊடகப் பழுது,மணவை முஸ்தபா
media filter,media filter,general,ஊடக வடிகட்டி',ஊடக வடிகட்டி',மணவை முஸ்தபா
media interchangeability,media interchangeability,general,ஊடக பரிமாற்றத் தன்மை,ஊடக பரிமாற்றத் தன்மை,மணவை முஸ்தபா
Media player,media player,general,ஊடக இயக்கி,ஊடக இயக்கி,aangilam.org
median,median,general,மீடியன்,மீடியன்,மணவை முஸ்தபா
medium,medium,general,ஊடகம்,ஊடகம்,"அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
medium model,medium model,ai,நடுத்தர மாதிரியம்,நடுத்தர மாதிரியம்,மணவை முஸ்தபா
medium pitch,medium pitch,general,நடுத்தொனி,நடுத்தொனி,மணவை முஸ்தபா
medium scale integration (MSI),medium scale integration (msi),general,நடுத்தர அளவு ஒருங்கிணைப்பு,நடுத்தர அளவு ஒருங்கிணைப்பு,மணவை முஸ்தபா
Meeting,meeting,general,கூட்டம்,கூட்டம்,மு.சிவலிங்கம்
mega,mega,general,மீமிகு,மீமிகு,மணவை முஸ்தபா
megabit,megabit,general,மீமிகு துண்மி,மீமிகு துண்மி,மணவை முஸ்தபா
Megabyte,megabyte,general,மீமிகு எண்மி,மீமிகு எண்மி,மணவை முஸ்தபா
megaflop,megaflop,general,மீமிகு இறக்கம்,மீமிகு இறக்கம்,மணவை முஸ்தபா
megahertz,megahertz,general,மீமிகு மின் அலை வரிசை,மீமிகு மின் அலை வரிசை,மணவை முஸ்தபா
member,member,general,உறுப்பு,உறுப்பு,மணவை முஸ்தபா
membrane keyboard,membrane keyboard,hardware,படலச் சாவிப்பலகை,"படலச் சாவிப்பலகை,ஜவ்வு விசைப்பலகை","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
memo field,memo field,database,குறிப்புப் புலம்,குறிப்புப் புலம்,மணவை முஸ்தபா
memory,memory,hardware,நினைவகம்,"நினைவகம்,உரையாடல் நினைவகம்","அண்ணா பல்கலைக்கழகம்,மு.சிவலிங்கம்,aangilam.org"
memory access,memory access,hardware,நினைவு அணுகல்,நினைவு அணுகல்,மணவை முஸ்தபா
memory addresses,memory addresses,hardware,பதிப்பி முகவரிகள்,பதிப்பி முகவரிகள்,மணவை முஸ்தபா
memory allocation,memory allocation,hardware,நினைவக ஒதுக்கீடு,நினைவக ஒதுக்கீடு,"அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
memory bank,memory bank,hardware,நினைவக வங்கி,நினைவக வங்கி,மணவை முஸ்தபா
memory based,memory based,hardware,நினைவகம் சார்ந்த,நினைவகம் சார்ந்த,மணவை முஸ்தபா
memory board,memory board,hardware,நினைவகப் பலகை,"நினைவகப் பலகை,நினைவுப் பலகை","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
memory capacity,memory capacity,hardware,நினைவகக் கொள்திறன்,நினைவகக் கொள்திறன்,மணவை முஸ்தபா
Memory Card,memory card,hardware,நினைவக அட்டை,நினைவக அட்டை,"மு.சிவலிங்கம்,மணவை முஸ்தபா"
memory cell,memory cell,hardware,நினைவக அறை,நினைவக அறை,மணவை முஸ்தபா
memory check,memory check,hardware,நினைவக சரிபார்ப்பு,நினைவக சரிபார்ப்பு,மணவை முஸ்தபா
memory chip,memory chip,hardware,நினைவகச் சில்லு,"நினைவகச் சில்லு,நினைவகச் சிப்பு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
memory control block,memory control block,hardware,நினைவகக் கட்டுப்பாடு கட்டம்,நினைவகக் கட்டுப்பாடு கட்டம்,மணவை முஸ்தபா
memory core,memory core,hardware,உள்ளக நினைவகம்,உள்ளக நினைவகம்,மணவை முஸ்தபா
memory cycle,memory cycle,hardware,நினைவகச் சுழல்நேரம்,"நினைவகச் சுழல்நேரம்,நினைவுச் சுழற்சி","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
memory cycle time,memory cycle time,hardware,நினைவக சுழற்சி நேரம்,நினைவக சுழற்சி நேரம்,மணவை முஸ்தபா
memory data register (MDR),memory data register (mdr),hardware,நினைவகத் தரவுப் பதிவகம்,நினைவகத் தரவுப் பதிவகம்,மணவை முஸ்தபா
memory dump,memory dump,hardware,நினைவகக் கொட்டல்,நினைவகக் கொட்டல்,அண்ணா பல்கலைக்கழகம்
memory fill,memory fill,hardware,நினைவக நிரப்பி,நினைவக நிரப்பி,மணவை முஸ்தபா
memory interleaving,memory interleaving,hardware,நினைவக இடைவெளியேற்றம்,நினைவக இடைவெளியேற்றம்,மணவை முஸ்தபா
memory main,memory main,hardware,முதன்மை நினைவகம்,முதன்மை நினைவகம்,மணவை முஸ்தபா
memory management,memory management,hardware,நினைவக மேலாண்மை,"நினைவக மேலாண்மை,நினைவுப் பராமரிப்பு","அண்ணா பல்கலைக்கழகம்,மு.சிவலிங்கம்,மணவை முஸ்தபா"
memory management programme,memory management programme,hardware,நினைவக மேலாண்மை நிரல்,நினைவக மேலாண்மை நிரல்,மணவை முஸ்தபா
memory management unit,memory management unit,hardware,நினைவக மேலாண்மையகம்,நினைவக மேலாண்மையகம்,மணவை முஸ்தபா
memory map,memory map,hardware,நினைவக விவரணை,"நினைவக விவரணை,நினௌவகப் படம்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
memory mapped I/O,memory mapped i/o,hardware,நினைவகப் பின்னணியிலான உ\,நினைவகப் பின்னணியிலான உ\,மணவை முஸ்தபா
memory mapping,memory mapping,hardware,நினைவகம் அமைத்தல்,நினைவகம் அமைத்தல்,மணவை முஸ்தபா
memory model,memory model,ai,நினைவக மாதிரியம்,நினைவக மாதிரியம்,மணவை முஸ்தபா
memory module,memory module,programming,நினைவகக் கூறு (மாடுல்),நினைவகக் கூறு (மாடுல்),மணவை முஸ்தபா
memory port,memory port,hardware,நினைவக இணைப்பி,நினைவக இணைப்பி,மணவை முஸ்தபா
memory protection,memory protection,hardware,நினைவகக் காப்பு,"நினைவகக் காப்பு,நினைவகப் பாதுகாப்பு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
memory resident,memory resident,hardware,நினைவகத்தில் தங்கியுள்ள,நினைவகத்தில் தங்கியுள்ள,மணவை முஸ்தபா
memory resident package,memory resident package,hardware,நினைவகத்தில் தங்கியிருக்கும் பொட்டலம்,நினைவகத்தில் தங்கியிருக்கும் பொட்டலம்,மணவை முஸ்தபா
memory size,memory size,hardware,நினைவக அளவு,நினைவக அளவு,மணவை முஸ்தபா
memory slot,memory slot,hardware,நினைவகப் பொருத்துமிடம்,"நினைவகப் பொருத்துமிடம்,நினைவக செருகுவாய்;நினைவகப் பொருத்துமிடம்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
memory sniffing,memory sniffing,hardware,நினைவகத் தொடர் சோதனை,"நினைவகத் தொடர் சோதனை,நுகர்வு நினைவகம்;நினைவகச் சோதனைகள்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
memory space,memory space,hardware,நினைவக இடம்,நினைவக இடம்,மணவை முஸ்தபா
Memory Stick,memory stick,hardware,நினைவகக் குச்சி,நினைவகக் குச்சி,மு.சிவலிங்கம்
memory typewriter,memory typewriter,hardware,நினைவகத் தட்டச்சுப் பொறி,நினைவகத் தட்டச்சுப் பொறி,மணவை முஸ்தபா
memory unit,memory unit,hardware,நினைவக அலகு,"நினைவக அலகு,நினைவகப் பகுதி","மணவை முஸ்தபா,aangilam.org"
memory நினைவகம்,memory நினைவகம்,hardware,நினைவுப்பதிப்பி,நினைவுப்பதிப்பி,மணவை முஸ்தபா
"memory, associate","memory, associate",hardware,சார்பு நினைவகம்,சார்பு நினைவகம்,மணவை முஸ்தபா
"memory, external","memory, external",hardware,புற நினைவகம்,புற நினைவகம்,மணவை முஸ்தபா
"memory, internal","memory, internal",hardware,அக நினைவகம்,அக நினைவகம்,மணவை முஸ்தபா
"memory, magnetic","memory, magnetic",hardware,காந்த நினைவகம்,காந்த நினைவகம்,மணவை முஸ்தபா
"memory, random access","memory, random access",hardware,குறிப்பிலா அணுகு நினைவகம்,குறிப்பிலா அணுகு நினைவகம்,மணவை முஸ்தபா
"memory, volatile","memory, volatile",hardware,நிலையா நினைவகம்,நிலையா நினைவகம்,மணவை முஸ்தபா
memotype field,memotype field,database,குறிப்புரைத் தரவுப் புலம்,குறிப்புரைத் தரவுப் புலம்,மணவை முஸ்தபா
menu,menu,general,பட்டி,"பட்டி,பட்டி பட்டியல்,பட்டியல்","அண்ணா பல்கலைக்கழகம்,மு.சிவலிங்கம்,மணவை முஸ்தபா,aangilam.org"
menu application,menu application,general,பட்டிப் பயன்பாடு,பட்டிப் பயன்பாடு,மணவை முஸ்தபா
Menu Bar,menu bar,general,பட்டிப் பட்டை,"பட்டிப் பட்டை,பட்டியல் பட்டை","மு.சிவலிங்கம்,மணவை முஸ்தபா"
menu block,menu block,general,பட்டிப் பகுதி,பட்டிப் பகுதி,மணவை முஸ்தபா
menu definitions,menu definitions,general,பட்டி வரையறைகள்,பட்டி வரையறைகள்,மணவை முஸ்தபா
menu driven,menu driven,general,பட்டி வழிச் செலுத்தி;பட்டி முடுக்கம்,பட்டி வழிச் செலுத்தி;பட்டி முடுக்கம்,மணவை முஸ்தபா
menu driven programme,menu driven programme,programming,பட்டியல் வழி செலுத்தும் நிரல்கள்,பட்டியல் வழி செலுத்தும் நிரல்கள்,மணவை முஸ்தபா
menu driven software,menu driven software,general,பட்டிவழி யங்குமென்பொருள்,"பட்டிவழி யங்குமென்பொருள்,செயல் பட்டியலை இயக்கும் மென்பொருள்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
menu item,menu item,general,பட்டி உருப்படி,"பட்டி உருப்படி,பட்டி உறுப்பு,பட்டியல் உருப்படி","அண்ணா பல்கலைக்கழகம்,மு.சிவலிங்கம்,மணவை முஸ்தபா"
Menu Options,menu options,general,பட்டித் தேர்வுகள்,பட்டித் தேர்வுகள்,மு.சிவலிங்கம்
merge,merge,general,சேர்,"சேர்,சேர்ப்பு,சேர்ப்பு;சேர்;இணைப்பு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
merge cell,merge cell,office,கலம் இணைத்தல்;கலம் சேர்த்தல்,கலம் இணைத்தல்;கலம் சேர்த்தல்,மணவை முஸ்தபா
merge document,merge document,office,ஆவணச் சேர்ப்பு;இணைப்பு ஆவணம்;ஆவண இணைப்பு,ஆவணச் சேர்ப்பு;இணைப்பு ஆவணம்;ஆவண இணைப்பு,மணவை முஸ்தபா
merge print program,merge print program,programming,சேர்ப்பு அச்சு நிரல்,சேர்ப்பு அச்சு நிரல்,அண்ணா பல்கலைக்கழகம்
merge print programme,merge print programme,programming,இணைப்பு அச்சிடு நிரல் தொகுப்பு,இணைப்பு அச்சிடு நிரல் தொகுப்பு,மணவை முஸ்தபா
merge purge,merge purge,general,இணைப்பு-தூய்மையாக்கு,இணைப்பு-தூய்மையாக்கு,மணவை முஸ்தபா
merge workbooks,merge workbooks,general,பேரேடுகளை ஒன்றிணை,பேரேடுகளை ஒன்றிணை,மணவை முஸ்தபா
mesa,mesa,general,மேடு,மேடு,மணவை முஸ்தபா
MESFET,mesfet,general,மெஸ்ஃபெட்,மெஸ்ஃபெட்,மணவை முஸ்தபா
mesh,mesh,general,கண்ணி,"கண்ணி,வலை கண்ணி","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
mesh network,mesh network,ai,கண்ணி வலையமைப்பு,"கண்ணி வலையமைப்பு,வலைப் பிணையம்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
message,message,mobile,செய்தி,"செய்தி;தரவு,செய்தி,செய்திகள்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா,மு.சிவலிங்கம்"
Message alert tone,message alert tone,mobile,செய்தி உணர்த்து ஒலி,செய்தி உணர்த்து ஒலி,மு.சிவலிங்கம்
message box,message box,mobile,தரவுப் பெட்டி;செய்திப் பெட்டி,தரவுப் பெட்டி;செய்திப் பெட்டி,மணவை முஸ்தபா
message format,message format,office,செய்திப் படிவம்,"செய்திப் படிவம்,செய்தி வடிவமைப்பு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
message header,message header,office,செய்தித் தலைப்பு,"செய்தித் தலைப்பு,செய்தி தலைப்பு","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
Message log,message log,mobile,செய்திப் பதிகை,செய்திப் பதிகை,மு.சிவலிங்கம்
message of the day,message of the day,mobile,இன்றையச் செய்தி,இன்றையச் செய்தி,மணவை முஸ்தபா
message panes,message panes,mobile,செய்திப் பலகங்கள்,செய்திப் பலகங்கள்,மணவை முஸ்தபா
message queuing,message queuing,mobile,செய்திச் சாரையாக்கம்,"செய்திச் சாரையாக்கம்,செய்திப வரிசைப்படுத்துதல்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
Message recipients,message recipients,mobile,செய்தி பெறுவோர்,செய்தி பெறுவோர்,மு.சிவலிங்கம்
message reflection,message reflection,mobile,செய்திப பிரதிபலிப்பு,செய்திப பிரதிபலிப்பு,மணவை முஸ்தபா
message retrieval,message retrieval,mobile,செய்தி மீட்பு,"செய்தி மீட்பு,செய்தி மீண்டும் பெறுதல்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
message security protocol,message security protocol,networking,செய்திப் பாதுகாப்புநெறிமுறை,செய்திப் பாதுகாப்புநெறிமுறை,மணவை முஸ்தபா
Message settings,message settings,mobile,செய்தி அமைவுகள்,செய்தி அமைவுகள்,மு.சிவலிங்கம்
message switching,message switching,networking,செய்தி மடை,"செய்தி மடை,செய்தி பணிக் குமிழ்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
message switching centre,message switching centre,networking,செய்தி பணிக்குமிழ் மையம்,செய்தி பணிக்குமிழ் மையம்,மணவை முஸ்தபா
message transfer agent,message transfer agent,ai,செய்திப் பரிமாற்று முகவர்,செய்திப் பரிமாற்று முகவர்,மணவை முஸ்தபா
messaging,messaging,general,செய்தியனுப்பல்,செய்தியனுப்பல்,மணவை முஸ்தபா
messaging application,messaging application,general,செய்தியனுப்பு பயன்பாடு,செய்தியனுப்பு பயன்பாடு,மணவை முஸ்தபா
messaging client,messaging client,networking,செய்தியனுப்பு கிளையன்,செய்தியனுப்பு கிளையன்,மணவை முஸ்தபா
meta character,meta character,general,புரவெழுத்து,புரவெழுத்து,மணவை முஸ்தபா
meta content format,meta content format,office,மீ உள்ளடக்க வடிவம்,மீ உள்ளடக்க வடிவம்,மணவை முஸ்தபா
meta language,meta language,networking,மீமொழி,மீமொழி,அண்ணா பல்கலைக்கழகம்
meta operating system,meta operating system,general,மீ இயக்க முறைமை,மீ இயக்க முறைமை,மணவை முஸ்தபா
Meta Prompt,meta prompt,ai,முதன்மைத் தூண்டுவினா,"முதன்மைத் தூண்டுவினா,அமைப்புத் தூண்டுவினா",காங்கேயன் பசுபதி
meta-assembler,meta-assembler,general,உயர் சேர்ப்பி;உயர்மட்ட பொறி மொழி,உயர் சேர்ப்பி;உயர்மட்ட பொறி மொழி,மணவை முஸ்தபா
meta-metalanguage,meta-metalanguage,networking,மீ-மீமொழி,மீ-மீமொழி,அண்ணா பல்கலைக்கழகம்
metacharacter,metacharacter,general,மீஉரு,மீஉரு,அண்ணா பல்கலைக்கழகம்
metacompiler,metacompiler,programming,மீத்தொகுப்பி,மீத்தொகுப்பி,அண்ணா பல்கலைக்கழகம்
Metadata,metadata,general,மேந்தரவு,"மேந்தரவு,தரவு விவரம்","சொல்லாய்வு குழு,aangilam.org"
Method,method,general,வழிமுறை,"வழிமுறை,முறை;செய்முறை","மு.சிவலிங்கம்,மணவை முஸ்தபா"
methodology,methodology,general,முறையியல்,முறையியல்,மணவை முஸ்தபா
metric system,metric system,general,பதின்ம முறைமை,பதின்ம முறைமை,மணவை முஸ்தபா
Metro Area Network (MAN),metro area network (man),ai,மாநகர்ப் பரப்புப் பிணையம்,மாநகர்ப் பரப்புப் பிணையம்,மு.சிவலிங்கம்
metropolitan area exchange,metropolitan area exchange,general,மாநகரப் பரப்பு இணைப்பகம்,மாநகரப் பரப்பு இணைப்பகம்,மணவை முஸ்தபா
metropolitan area network,metropolitan area network,ai,பெரு நகரப் பிணையம்,பெரு நகரப் பிணையம்,மணவை முஸ்தபா
MFT,mft,general,எம்எஃப்டீ,எம்எஃப்டீ,மணவை முஸ்தபா
mget,mget,general,எம்கெட்,எம்கெட்,மணவை முஸ்தபா
MHZ,mhz,general,எம்எச்இசட்,எம்எச்இசட்,மணவை முஸ்தபா
MICR,micr,general,எம்ஐசிஆர்,எம்ஐசிஆர்,மணவை முஸ்தபா
MICR reader,micr reader,general,எம்ஐசிஆர் படிப்பி ; காந்த மை எழுத்து ஏற்புப் படிப்பி,எம்ஐசிஆர் படிப்பி ; காந்த மை எழுத்து ஏற்புப் படிப்பி,மணவை முஸ்தபா
micro,micro,general,நுண்,"நுண்,நுண்மை;நுண்","அண்ணா பல்கலைக்கழகம்,மணவை முஸ்தபா"
micro chart,micro chart,office,நுண் படம்,நுண் படம்,அண்ணா பல்கலைக்கழகம்
micro chip,micro chip,hardware,நுண் சில்லு,நுண் சில்லு,அண்ணா பல்கலைக்கழகம்
micro coding,micro coding,general,நுண் நிரல்,நுண் நிரல்,அண்ணா பல்கலைக்கழகம்
micro coding device,micro coding device,general,நுண்நிரலிச் சாதனம்,நுண்நிரலிச் சாதனம்,அண்ணா பல்கலைக்கழகம்
micro computer,micro computer,general,நுண் கணிப்பொறி,நுண் கணிப்பொறி,அண்ணா பல்கலைக்கழகம்
micro computer chip,micro computer chip,hardware,நுண் கணிப்பொறிச் சில்லு,நுண் கணிப்பொறிச் சில்லு,அண்ணா பல்கலைக்கழகம்
micro computer system,micro computer system,general,நுண்கணிப்பொறி அமைப்பு,நுண்கணிப்பொறி அமைப்பு,அண்ணா பல்கலைக்கழகம்
micro controller,micro controller,general,நுண் கட்டுப்படுத்தி,நுண் கட்டுப்படுத்தி,அண்ணா பல்கலைக்கழகம்
micro electronics,micro electronics,general,நுண் மின்னணுவியல்,நுண் மின்னணுவியல்,அண்ணா பல்கலைக்கழகம்
micro fiche,micro fiche,general,நுண்படல அட்டை,நுண்படல அட்டை,அண்ணா பல்கலைக்கழகம்
micro film,micro film,general,நுண்படலம்,நுண்படலம்,அண்ணா பல்கலைக்கழகம்
micro floppy disk,micro floppy disk,hardware,நுண் நெகிழ் வட்டு,நுண் நெகிழ் வட்டு,அண்ணா பல்கலைக்கழகம்
